country,FIPS_sum,Lat_sum,Long__sum,confirmed,death,recovered,active,Incidence_Rate_sum,Case.Fatality_Ratio_sum,population
Afghanistan,NA,33.93911,67.709953,38606,1420,31154,6032,99.1719631720242,3.678184738123608,38041754
Albania,NA,41.1533,20.1683,11021,327,6443,4251,382.9661547015081,2.9670628799564467,2854191
Algeria,NA,28.0339,1.6596,47752,1599,33723,12430,108.89592751533868,3.3485508460378623,43053054
Andorra,NA,42.5063,1.5218,1344,53,943,348,1739.4680644535044,3.943452380952381,77142
Angola,NA,-11.2027,17.8739,3279,131,1288,1860,9.97679444468718,3.995120463555962,31825295
Antigua and Barbuda,NA,17.0608,-61.7964,95,3,91,1,97.01004819867659,3.1578947368421053,97118
Argentina,NA,-38.4161,-63.6167,535705,11148,400121,124436,1185.2987946196831,2.080996070598557,44938712
Armenia,NA,40.0691,45.0382,45503,909,41434,3160,1535.5857822905648,1.9976704832648398,2957731
Australia,NA,-256.85020000000003,1130.8439,26607,803,23329,2475,506.6794277651126,15.920372803465911,25364307
Austria,NA,47.5162,14.5501,31827,750,26257,4820,353.38203943862135,2.356489772834386,8877067
Azerbaijan,NA,40.1431,47.5769,38037,557,35440,2040,375.14886566214716,1.464363645923706,10023318
Bahamas,NA,25.025885,-78.035889,2814,65,1220,1529,715.578973065343,2.3098791755508175,389482
Bahrain,NA,26.0275,50.55,58839,208,52776,5855,3457.897734051175,0.3535070276517276,1641172
Bangladesh,NA,23.685,90.3563,334762,4668,236024,94070,203.2687195142385,1.3944235008752486,163046161
Barbados,NA,13.1939,-59.5432,180,7,158,15,62.636800512229826,3.888888888888889,287025
Belarus,NA,53.7098,27.9534,73784,738,72369,677,780.839173523685,1.0002168491813943,9466856
Belgium,NA,50.8333,4.469936,91537,9919,18689,62929,789.8190932296635,10.836055365589871,11484055
Belize,NA,17.1899,-88.4976,1435,19,404,1012,360.89643152650393,1.32404181184669,390353
Benin,NA,9.3077,2.3158,2242,40,1793,409,18.493470122322513,1.784121320249777,11801151
Bhutan,NA,27.5142,90.4336,241,0,158,83,31.233314152708875,0,763092
Bolivia,NA,-16.2902,-63.5887,125172,7250,81240,36682,1072.3180761394492,5.792030166490909,11513100
Bosnia and Herzegovina,NA,43.9159,17.6791,22834,686,15672,6476,695.9856011387415,3.004291845493562,3301000
Botswana,NA,-22.3285,24.6849,2252,10,546,1696,95.76356774570776,0.44404973357015987,2303697
Brazil,NA,-342.0771,-1308.9732999999999,4282164,130396,3695158,456610,75569.17290946023,72.76689143912714,211049527
Brunei,NA,4.5353,114.7277,145,3,139,3,33.144145029635446,2.0689655172413794,433285
Bulgaria,NA,42.7339,25.4858,17799,713,12750,4336,256.15803248064856,4.005843024889039,6975761
Burkina Faso,NA,12.2383,-1.5616,1499,56,1127,316,7.171124069631567,3.735823882588392,20321378
Myanmar,NA,21.9162,95.956,2422,14,625,1783,4.451404465894504,0.5780346820809249,54045420
Burundi,NA,-3.3731,29.9189,469,1,374,94,3.9442320903900256,0.21321961620469082,11530580
Cabo Verde,NA,16.5388,-23.0418,4651,44,4076,531,836.5288459463153,0.9460331111588905,549935
Cambodia,NA,11.55,104.9167,274,0,274,0,1.6388568411297562,0,16486542
Cameroon,NA,3.848,11.5021,20009,415,18837,757,75.37520722625565,2.074066669998501,25876380
Canada,NA,NA,NA,137676,9214,121537,NA,NA,NA,37589262
Central African Republic,NA,6.6111,20.9394,4749,62,1825,2862,98.32778578829112,1.3055380080016845,4745185
Chad,NA,15.4542,18.7322,1081,79,934,68,6.581086566005468,7.308048103607771,15946876
Chile,NA,NA,NA,430535,11850,403064,NA,NA,29.91762429954523,18952038
China,NA,1079.6253,3686.4211,90145,4733,85025,387,228.7455362012609,31.93473520708217,1397715000
Colombia,NA,176.5216,-2448.2963,702088,22518,582694,96876,35538.40893181461,102.94049630103659,50339443
Comoros,NA,-11.6455,43.3333,456,7,415,34,52.43820399151329,1.5350877192982457,850886
"Congo, Rep.",NA,-0.228,15.8277,4928,88,3887,953,89.30623121180292,1.7857142857142858,5380508
"Congo, Dem. Rep.",NA,-4.0383,21.7587,10361,262,9622,477,11.568599348889169,2.5287134446482,86790567
Costa Rica,NA,9.7489,-83.7534,53969,583,20710,32676,1059.438402831189,1.0802497730178435,5047561
Cote d'Ivoire,NA,7.54,-5.5471,18916,119,17960,837,71.71052693930895,0.6290970606893636,25716544
Croatia,NA,45.1,15.2,13107,211,10466,2430,319.27270034502016,1.6098268101014725,4067500
Cuba,NA,21.521757,-77.78116700000002,4593,106,3844,643,40.550505111147054,2.307859786631831,11333483
Cyprus,NA,35.1264,33.4299,1520,22,1237,261,125.89440937714569,1.4473684210526316,1198575
Czech Republic,NA,49.8175,15.473,33860,450,21140,12270,316.18318155731333,1.3290017720023626,10669709
Denmark,NA,189.8634,-40.014300000000006,19646,629,16563,2454,1207.7414512752891,3.273313905079101,5818553
Djibouti,NA,11.8251,42.5903,5394,61,5327,6,545.950311841474,1.1308861698183166,973560
Dominica,NA,15.415,-61.371,24,0,18,6,33.337500520898445,0,71808
Dominican Republic,NA,18.7357,-70.1627,102232,1941,75747,24544,942.4124697268708,1.8986227404335239,10738958
Ecuador,NA,-1.8312,-78.1834,114732,10836,91242,12654,650.2953569278799,9.444618763727643,17373662
Egypt,NA,26.820553000000004,30.802498,100708,5607,82473,12628,98.41069772010106,5.567581522818445,100388073
El Salvador,NA,13.7942,-88.8965,26773,777,17433,8563,412.7685836439543,2.9021775669517798,6453553
Equatorial Guinea,NA,1.6508,10.2679,4996,83,4490,423,356.09789128180273,1.6613290632506006,1355986
Estonia,NA,58.5953,25.0136,2632,64,2233,335,198.4110531239564,2.43161094224924,1326590
Eswatini,NA,-26.5225,31.4659,5025,98,4165,762,433.12841977513517,1.9502487562189055,1148130
Ethiopia,NA,9.145,40.4897,63367,986,24024,38357,55.11919370153938,1.5560149604683826,112078730
Fiji,NA,-17.7134,178.065,32,2,24,6,3.5696596775704896,6.25,889953
Finland,NA,61.92411,25.748151,8512,337,7500,675,153.62629897424847,3.9591165413533833,5520314
France,NA,91.463495,-238.646914,401890,30901,89890,280992,7707.5516877882865,15.906855034579703,67059887
Gabon,NA,-0.8037,11.6094,8643,53,7706,884,388.3223826091958,0.6132130047437232,2172579
Gambia,NA,13.4432,-15.3101,3362,100,1582,1680,139.11739488815988,2.97441998810232,2347706
Georgia,NA,42.3154,43.3569,1917,19,1354,544,48.05504897629209,0.99113197704747,3720382
