country,confirmed,death,recovered,active,population
Afghanistan,40026,1481,33447,5098,38041754
Albania,16212,439,9864,5909,2854191
Algeria,53777,1827,37603,14347,43053054
Andorra,3190,59,2011,1120,77142
Angola,7096,228,2928,3940,31825295
Antigua and Barbuda,112,3,100,9,97118
Argentina,949063,25342,764859,158862,44938712
Armenia,59995,1046,47119,11830,2957731
Australia,27371,904,25062,1405,25364307
Austria,60224,877,46798,12549,8877067
Azerbaijan,43280,619,39671,2990,10023318
Bahamas,5385,112,3178,2095,389482
Bahrain,76954,289,73013,3652,1641172
Bangladesh,384559,5608,299229,79722,163046161
Barbados,218,7,195,16,287025
Belarus,85734,916,78583,6235,9466856
Belgium,191959,10327,20720,160912,11484055
Belize,2682,41,1612,1029,390353
Benin,2496,41,2330,125,11801151
Bhutan,316,0,296,20,763092
Bolivia,139319,8407,103499,27413,11513100
Bosnia and Herzegovina,32224,972,24356,6896,3301000
Botswana,3914,20,905,2989,2303697
Brazil,5169386,152460,4526393,490533,211049527
Brunei,147,3,143,1,433285
Bulgaria,27507,944,16678,9885,6975761
Burkina Faso,2335,65,1645,625,20321378
Myanmar,32351,765,14706,16880,54045420
Burundi,529,1,497,31,11530580
Cabo Verde,7444,79,6348,1017,549935
Cambodia,283,0,278,5,16486542
Cameroon,21441,423,20117,901,25876380
Canada,194362,9756,164154,NA,37589262
Central African Republic,4855,62,1924,2869,4745185
Chad,1350,92,1120,138,15946876
Chile,486496,13434,459536,NA,18952038
China,90905,4739,85743,423,1397715000
Colombia,936982,28457,826831,81694,50339443
Comoros,496,7,484,5,850886
"Congo, Rep.",5156,92,3887,1177,5380508
"Congo, Dem. Rep.",10935,281,10306,348,86790567
Costa Rica,93152,1159,57731,34262,5047561
Cote d'Ivoire,20257,120,19898,239,25716544
Croatia,22534,344,18628,3562,4067500
Cuba,6062,123,5678,261,11333483
Cyprus,2285,25,1444,816,1198575
Czech Republic,149010,1230,63350,84430,10669709
Denmark,34519,677,28603,5239,5818553
Djibouti,5443,61,5368,14,973560
Dominica,33,0,29,4,71808
Dominican Republic,120066,2189,96152,21725,10738958
Ecuador,150360,12306,128134,9920,17373662
