FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case.Fatality_Ratio
NA,,,Afghanistan,16/10/2020 04:24,33.93911,67.709953,40026,1481,33447,5098,Afghanistan,102.8196912,3.700094938
NA,,,Albania,16/10/2020 04:24,41.1533,20.1683,16212,439,9864,5909,Albania,563.3470012,2.707870713
NA,,,Algeria,16/10/2020 04:24,28.0339,1.6596,53777,1827,37603,14347,Algeria,122.6356235,3.397363185
NA,,,Andorra,16/10/2020 04:24,42.5063,1.5218,3190,59,2011,1120,Andorra,4128.648159,1.849529781
NA,,,Angola,16/10/2020 04:24,-11.2027,17.8739,7096,228,2928,3940,Angola,21.59052558,3.21307779
NA,,,Antigua and Barbuda,16/10/2020 04:24,17.0608,-61.7964,112,3,100,9,Antigua and Barbuda,114.369741,2.678571429
NA,,,Argentina,16/10/2020 04:24,-38.4161,-63.6167,949063,25342,764859,158862,Argentina,2099.893094,2.67021262
NA,,,Armenia,16/10/2020 04:24,40.0691,45.0382,59995,1046,47119,11830,Armenia,2024.646046,1.743478623
NA,,Australian Capital Territory,Australia,16/10/2020 04:24,-35.4735,149.0124,113,3,110,0,"Australian Capital Territory, Australia",26.39570194,2.654867257
NA,,New South Wales,Australia,16/10/2020 04:24,-33.8688,151.2093,4326,53,3142,1131,"New South Wales, Australia",53.28898744,1.225150254
NA,,Northern Territory,Australia,16/10/2020 04:24,-12.4634,130.8456,33,0,33,0,"Northern Territory, Australia",13.43648208,0
NA,,Queensland,Australia,16/10/2020 04:24,-27.4698,153.0251,1164,6,1154,4,"Queensland, Australia",22.75437396,0.515463918
NA,,South Australia,Australia,16/10/2020 04:24,-34.9285,138.6007,479,4,471,4,"South Australia, Australia",27.27013948,0.835073069
NA,,Tasmania,Australia,16/10/2020 04:24,-42.8821,147.3272,230,13,217,0,"Tasmania, Australia",42.95051354,5.652173913
NA,,Victoria,Australia,16/10/2020 04:24,-37.8136,144.9631,20317,816,19259,242,"Victoria, Australia",306.4450444,4.016340995
NA,,Western Australia,Australia,16/10/2020 04:24,-31.9505,115.8605,709,9,676,24,"Western Australia, Australia",26.95202615,1.269393512
NA,,,Austria,16/10/2020 04:24,47.5162,14.5501,60224,877,46798,12549,Austria,668.6800497,1.456230074
NA,,,Azerbaijan,16/10/2020 04:24,40.1431,47.5769,43280,619,39671,2990,Azerbaijan,426.8591873,1.430221811
NA,,,Bahamas,16/10/2020 04:24,25.025885,-78.035889,5385,112,3178,2095,Bahamas,1369.364879,2.079851439
NA,,,Bahrain,16/10/2020 04:24,26.0275,50.55,76954,289,73013,3652,Bahrain,4522.494642,0.375549029
NA,,,Bangladesh,16/10/2020 04:24,23.685,90.3563,384559,5608,299229,79722,Bangladesh,233.5056413,1.458293786
NA,,,Barbados,16/10/2020 04:24,13.1939,-59.5432,218,7,195,16,Barbados,75.86012506,3.211009174
NA,,,Belarus,16/10/2020 04:24,53.7098,27.9534,85734,916,78583,6235,Belarus,907.3032867,1.06842093
NA,,,Belgium,16/10/2020 04:24,50.8333,4.469936,191959,10327,20720,160912,Belgium,1656.301641,5.379794644
NA,,,Belize,16/10/2020 04:24,17.1899,-88.4976,2682,41,1612,1029,Belize,674.5116581,1.528709918
NA,,,Benin,16/10/2020 04:24,9.3077,2.3158,2496,41,2330,125,Benin,20.58862686,1.642628205
NA,,,Bhutan,16/10/2020 04:24,27.5142,90.4336,316,0,296,20,Bhutan,40.9532252,0
NA,,,Bolivia,16/10/2020 04:24,-16.2902,-63.5887,139319,8407,103499,27413,Bolivia,1193.511984,6.034352816
